author,views
Alex Haley,761.0
Alex Haley,806.0
Alex Haley,724.1
Alex Haley,1141.5
Alex Haley,642.2
Alex Haley,629.1
Alex Haley,830.5
Alex Haley,1561.4
Alex Haley,878.7
Alex Haley,893.4
Alex Haley,2921.7
Alex Haley,7801.9
Alex Haley,1314.8
Alex Haley,1016.9
Alex Haley,984.2
Alex Haley,735.7
Alex Haley,938.7
Alex Haley,740.1
Alex Haley,955.2
Alex Haley,3160.8
Alex Haley,1713.9
Alex Haley,742.0
Alex Haley,714.9
Alex Haley,534.2
Alex Haley,582.2
Alex Haley,661.9
Alex Haley,908.4
Alex Haley,674.9
Alex Haley,647.4
Alex Haley,555.4
Alex Haley,686.1
Alex Haley,2122.0
Alex Haley,759.4
Alex Haley,745.7
Alex Haley,579.6
Alex Haley,516.0
Alex Haley,563.7
Alex Haley,555.5
Alex Haley,511.1
Alex Haley,492.5
Alex Haley,540.7
Alex Haley,630.4
Alex Haley,613.2
Alex Haley,1887.3
Alex Haley,679.8
Alex Haley,831.8
Alex Haley,571.7
Alex Haley,510.0
Alex Haley,519.5
Alex Haley,677.3
Alex Haley,479.0
Alex Haley,476.0
Alex Haley,713.1
Alex Haley,539.8
Alex Haley,589.2
Alex Haley,1700.4
Alex Haley,601.4
Alex Haley,675.0
Alex Haley,679.0
Alex Haley,1390.4
Alex Haley,1000.4
Alex Haley,736.6
Alex Haley,567.3
Alex Haley,526.4
Alex Haley,576.6
Alex Haley,595.0
Alex Haley,950.7
Alex Haley,1826.8
Alex Haley,913.6
Alex Haley,687.5
Alex Haley,612.0
Alex Haley,541.0
Alex Haley,534.0
Alex Haley,735.3
Alex Haley,507.8
Alex Haley,498.5
Alex Haley,467.9
Alex Haley,568.2
Alex Haley,653.2
Alex Haley,1089.8
Alex Haley,671.0
Alice Walker,892.8
Alice Walker,929.6
Alice Walker,1160.2
Alice Walker,1185.1
Alice Walker,1300.4
Alice Walker,1192.8
Alice Walker,1326.4
Alice Walker,2023.3
Alice Walker,1444.5
Alice Walker,1406.4
Alice Walker,1237.5
Alice Walker,1217.5
Alice Walker,983.2
Alice Walker,945.8
Alice Walker,1274.0
Alice Walker,1204.9
Alice Walker,1225.1
Alice Walker,1097.3
Alice Walker,1309.6
Alice Walker,1917.3
Alice Walker,1524.7
Alice Walker,1248.6
