Date,Alex Haley,Alice Walker,Ann Petry,Barbara Neely,Charles Chesnutt,Charles R. Johnson,Chester Himes,Claude McKay,Colson Whitehead,David Bradley,Edward P. Jones,Edwidge Danticat,Ernest J. Gaines,Gayl Jones,George Schuyler,Gloria Naylor,Gwendolyn Brooks,Henry Dumas,Ishmael Reed,Jacqueline Woodson,James Baldwin,James Weldon Johnson,Jean Toomer,Jesmyn Ward,John A. Williams,John Oliver Killens,Langston Hughes,Margaret Walker,Marlon James,Nalo Hopkinson,Nella Larsen,Octavia E. Butler,Paul Beatty,Paul Laurence Dunbar,Paule Marshall,Pauline Hopkins,Ralph Ellison,Richard Wright,Rudolph Fisher,Sister Souljah,Suzan-Lori Parks,Tayari Jones,Terry McMillan,Toni Cade Bambara,Toni Morrison,W.E.B. Bois,Walter Mosley,Zora Neale Hurston
7/1/2015,23590,27678,729,246,166,1106,2878,3423,1816,314,1394,3319,2490,714,850,980,4661,965,4224,3251,47360,4438,1825,1350,49,354,42839,1651,616,1173,1701,10995,1316,5206,814,485,10675,13447,321,12870,1677,1978,5545,1448,66133,2,5967,16336
8/1/2015,24985,28817,627,204,179,777,2662,3090,1693,279,1563,3267,3117,607,806,996,4054,862,3858,2195,48306,4186,1892,2657,49,361,40632,1352,730,1426,1672,10473,1110,5775,687,438,10512,16047,254,15778,1975,1326,6967,1848,56733,4,7360,17874
9/1/2015,21724,34807,806,234,230,841,2787,5069,1918,393,1650,4671,3229,635,1059,1161,5705,628,2463,3101,38693,5582,2444,1830,53,413,52809,1468,783,1144,2488,12572,1020,7956,1143,780,10262,17855,429,10618,2387,1653,7281,3654,55353,1,5313,20800
10/1/2015,35385,36738,1061,208,190,888,3497,7232,2023,430,1764,5087,2609,829,1158,1244,7195,1293,2293,3396,62646,7183,2967,1434,25,367,56961,1463,2480,1372,3398,11068,1037,8265,954,942,10670,18175,615,10625,2889,1980,7336,3114,50419,0,4707,23741
11/1/2015,19266,39011,929,227,191,965,3256,6977,2139,285,1653,4152,2254,940,1044,1155,6773,709,2289,2997,50329,7160,2993,1390,27,374,57514,1318,1060,1523,3240,12544,835,6960,878,912,10758,16922,506,28734,3208,1708,5691,2795,63986,3,5232,24549
12/1/2015,19501,36976,831,223,163,813,3113,5768,1656,324,1738,3934,2426,833,873,1159,6103,614,2180,2422,47226,6625,2913,1263,42,380,54362,1350,1669,1472,2888,12003,3489,6670,715,604,9822,15374,490,14965,2690,1874,4691,2064,63724,0,4992,22800
1/1/2016,25746,41118,1039,206,173,923,3252,7450,1812,315,2028,3615,3759,709,1747,1464,8438,652,2427,3287,47056,9590,3247,1206,35,441,71847,1388,989,1365,3313,20100,1911,8813,999,732,13597,18247,575,13397,2721,2213,8307,1966,66736,0,5446,35430
2/1/2016,45282,58677,1276,429,228,920,3445,11309,1765,1317,1958,4865,3624,1133,1334,1611,15134,960,3066,4385,69049,20404,5266,2067,54,499,127466,2479,697,1433,4697,20181,1755,16309,1067,1044,21108,26602,957,22073,3490,1810,6545,2688,72276,3,6520,50524
3/1/2016,27239,44780,1143,306,195,971,2762,9047,1902,1645,1555,4517,3115,1187,1130,1422,9480,687,2396,3553,49408,10011,4412,1376,40,446,76852,2155,620,1414,4415,16620,3898,9199,897,769,14044,18712,583,12508,2936,1775,5130,2827,53156,3,5221,33695
4/1/2016,26802,42191,1068,200,158,1058,2428,7366,1933,336,1552,4004,2745,1170,939,1301,8940,677,2550,3675,39570,8566,3654,1456,47,339,68034,1743,718,1407,4041,14073,2209,7888,910,693,12647,17458,516,20053,4205,2932,4193,2193,47721,2,5174,29123
5/1/2016,90574,38361,740,232,175,1061,2461,6275,1719,270,1430,3752,2718,824,994,1253,7356,636,2272,2713,38112,7148,3064,1243,39,392,59312,1314,371,1469,2729,12690,1896,7232,873,564,11681,15573,387,13093,3200,1760,4384,2053,45559,1,5346,25549
6/1/2016,234057,36524,521,319,146,789,2326,3569,1604,208,1239,2778,2127,794,802,1015,5267,614,3072,2032,31353,5241,1974,944,56,285,38870,1630,274,1325,1649,11699,2002,5661,616,428,9961,11598,238,8364,1922,1488,9728,1505,39610,5,13137,17271
7/1/2016,40760,30480,576,210,124,752,2722,3046,1963,202,1373,2500,2085,632,775,927,4293,948,1841,1867,41969,4226,1769,1243,46,319,36290,1590,230,1125,1737,16787,2244,4628,553,424,8890,11833,194,10460,2043,1595,14552,1231,38635,3,11417,16228
8/1/2016,31523,29321,625,258,167,1059,2987,3524,32432,335,1632,3028,2218,657,800,1103,4305,733,2057,9219,51157,4660,1885,2952,47,402,39850,1541,179,1293,1770,13579,2124,5794,617,391,10453,12906,250,8836,2333,1506,6795,1495,38706,3,8597,16691
9/1/2016,29525,38220,832,238,174,1057,2715,5214,13704,286,1929,4484,2255,736,978,1151,5951,647,2272,4922,47438,8157,2635,1733,51,309,61866,1453,248,1264,2373,12959,3233,7567,924,724,10640,16491,308,12972,3841,1256,4687,2604,42547,2,6824,21961
10/1/2016,22807,37353,1078,255,168,1110,9801,7223,9359,258,1703,4565,2451,937,1149,14542,7197,841,2464,6862,46918,7770,3090,1296,23,355,61473,1662,224,1464,3303,14133,39682,8039,924,898,13275,16763,414,11570,4266,1094,5578,2586,60472,2,13709,27163
